ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
XIU CN Equity,15745385796,16005669777,16274921637,16804657757,16398314819,15071189190,14394521385,14049488679,13343671112,12655825534,12411596273,12279392768,12339088058,12641156469,12213772741,11943525391,12343333362,11939228630,10520478552,10942774668,11674617965,11375813890,10983070895,10304018649,10785259320,11016858655,11165673005,11121065181,10601112538,11441553056,10685679802,9693271706,10826369280,10429941351,10853940179,12610537827,12607557314,13100360496,12646145856,11513408778,11043292221,10701814403,10135434312,9879105474,12069927222
XIC CN Equity,14922647736,15007281503,15276207870,15346925163,14493273601,15147029810,13426000633,13359322583,12958740942,13445414996,12131337199,12164961301,11297155281,11796137858,11015184531,10845865395,10500134642,9582671405,8286716654,8492522333,8990194138,9088721411,8963466034,8742011283,9235291649,8988370222,9038121948,9489426512,8855957616,9509145982,8739920623,8456039230,9055323804,9152871089,8686519653,9932032013,10039603266,10875871892,10441274215,9981313660,10278877729,9422968155,9511386902,9148028236,9487718391
ZCN CN Equity,9812493715,9842347848,10175151342,10028495042,9388582212,9652422406,8493629143,8483334391,8067865039,8274768875,8042070163,7645029891,7387244008,7450073352,7256818600,7333252743,7265254608,7072834927,6687671846,7019419510,7200014078,7242057326,6843674210,6434661174,6907428613,6810034698,6827173164,7168326440,6665058237,7017504608,6921213209,6640694344,6983722364,7124352945,6706576910,7506822829,7586698833,7747315423,7446966511,7377675258,7599459230,7061190577,7149317269,6787409152,6945681196
VCN CN Equity,8877930948,8658138200,8781376740,8714727382,8391336725,8515205202,7891406546,7742180072,7484380902,7285567045,6725345938,6778622784,6533292632,6574705458,6278203812,6062641424,6032525474,5769007656,5344038976,5483191983,5638349743,5676872240,5465647679,5242923126,5463323272,5258861003,5230158892,5309121658,4936098049,5153797660,4778399786,4505662623,4681123759,4764610592,4475892444,4887414624,4826105764,5053931141,4871242914,4782079864,4706451515,4465451351,4474401620,4202381191,4242465614
HXT CN Equity,3832796857,3829942321,4013879205,4071205894,4173253145,4251602547,4035628330,3965376451,3866331345,3844695276,3618223860,3768571002,3837492079,3922934187,3754295719,3671853345,3727477034,3448876347,3248492461,3310198475,3396715811,3817165627,3464245668,3524878694,3902647059,3655063370,3787266085,4118258957,3831401947,4093399212,3730961818,3398630339,3677025066,3670281900,3551920527,3809443852,3778791525,3908500468,3288661825,3102426286,2881208378,3002200399,3021734675,2667133013,2717747761
HXT/U CN Equity,3839469275,3826083265,4006249360,4034088967,4177752985,4250843387,4035483382,3960245713,3873647095,3845112941,3616768844,3772303783,3834286343,3920472618,3756093797,3657787971,3715240272,3452815918,3251186332,3301059517,3405262648,3810941434,3459408026,3532408738,3903655077,3657227148,3779494397,4123365911,3828572488,4118504746,3735206847,3391618417,3666246001,3672144986,3551920429,3804775322,3770114415,3902404001,3292034956,3099131073,2881094425,3012423594,3026617860,2671554912,2719793935
HXCN CN Equity,1232150419,1188152079,1424291387,1438691369,1455453925,1504704129,1414577830,1406582402,1371171372,1362143853,1282989329,1290662359,1280368837,1300587301,1248925444,1219878866,1209858231,1289815019,1199983898,1236738188,1282565178,1293971736,1261451578,1220492095,1280803545,1244660849,1247295514,1278626334,1190437306,1251697833,1186023445,1657459050,1728069070,1756291993,1678181967,2214930339,2107025088,2316110380,2224835310,2196523785,1992494689,1893202465,1893086459,1790766771,1804040774
VCE CN Equity,2174407105,2136645425,2188780183,2185224207,2075748064,2139198794,1992211353,1974004757,1881726594,1833476659,1706556067,1740204532,1666803627,1686331927,1590398596,1548912647,1506542263,1449473426,1350927630,1375514288,1403695264,1410987422,1367918445,1327578744,1384053748,1326835400,1331681656,1361649055,1251158841,1318581093,1238554251,1210200639,1271232568,1281669481,1216491127,1324500322,1302736267,1335979323,1279710669,1265449805,1228109312,1176559138,1165195260,1087239666,1101954177
TTP CN Equity,3041931691,2619143132,2574712246,2565069874,2459335059,2472741544,2112836316,2040633101,1966378776,1945795287,1807047126,1805002898,1725596697,1722156922,1637289739,1571952288,1499686148,1446405576,1314284279,1330304309,1364619129,1432655322,1424268072,1345414558,1288886729,1224294176,1223046326,1068952045,969192378.9,1010744290,970360708.9,918969122.7,950419855,1049513282,1294452867,1459923658,1720566496,1801336467,1723992796,1739933655,1743312629,1641264214,1611650678,1531053409,1514358823
QCN CN Equity,1859980209,1821338928,1783537020,1771601330,1649903652,1676269550,1567556638,1559068636,1523753888,1470111650,1416984468,1418827782,1387095659,1425173965,1366138630,1285823333,1276101338,1246943493,1160489477,1178347013,1225976867,1230127549,1195765648,1132705159,1174067645,1106999631,1102585686,1107904290,1059162139,1108445607,1044719081,989445704,1042259586,1035311245,965519393.2,1265219388,1244466981,1302930263,1255821152,1236228662,767673759.2,755213247.4,744945730.6,478972368.2,481974082
