ETF,2025-05-30 0:00,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
 XIU CN Equity ,353045170.7,-325283218.6,61817044.3,-338095380.6,-272043313.7,1834383744,-158664689.7,257625409.3,300499003.1,579620230.9,-489407562.7,349270174.8,-291291153,-24400745.8,-25441169.9,134392393.5,-462485055.7,-74582287.4,685513836.4,-77036957.4,-372211585.4,535805962.5,156952755.3,313162103.7,200748886.4,-614517039.9,-96926396.7,453033550.5,-250685952.3,-220014801.7,230059454.5,466520562.4,-737339470,683358628.7,-808055411.1,-718934771.7,53244358.1,148316724.4,-17666867.7,1249358402,486965164.7,-23062920.3,792957245.3,-266035841.6,-1990281964,
 XIC CN Equity ,432244151.8,-68786354,62756651.4,-7388794.2,341139358.6,-69435208.8,866327996.8,-48186605.4,99525812.6,-629009804.2,586607983,232069830.4,554373516.2,-283191741.6,403755892.8,-25155548.2,289682057.8,596792966.2,663294543.2,66218880.6,-122818225.2,24374677.2,-103062625.6,3332263,-38936432.2,-14694691.4,46040438,-222867289,-18517127.4,-121786276,279461309,-180709797.4,-141685205.4,52034339.2,60590707,-319481437.4,-108984864.8,-307786404.4,92249941.6,430596474.8,-252461369,632104803,67252046.8,-83735019.6,-75196056.4,
 ZCN CN Equity ,27826767,-18952580,-111272066,187647280,312090325,118588636.6,609134922,-62754718,223116925,-293773939,-238999672,562468503,53307992,73395781,-47606938,-205595149,28313929,-23778200,-112117324,-105681212,120158304,56823618,220179506.5,249047284,-136446208,-98656349,54710001,-166387157,8393681,47786562,-272309612,-85889016,9283948,-24604545,101837867,-96852544.5,-83877768,229433093,60827680,48239447,-191960101,375539655,28821564,21325630,44025835,
 VCN CN Equity ,111693600,212160142.5,95742157.5,86371192.5,16530862.5,222141427.5,91274962.5,78675150,72331897.5,99626295,161507565,93590962.5,67815907.5,80669865,86719605,93727192.5,-2483670,83536500,27147180,32619517.5,73015867.5,40071810,64196310,81667125,52436152.5,49776742.5,78457515,46665795,6600825,73110427.5,108644167.5,22017825,57693285,-6171810,83145202.5,45450675,55913190,23279302.5,30308752.5,83581395,84902047.5,124920525,64465672.5,59448817.5,83796892.5,
 HXT CN Equity ,16371184.11,-1373515.102,-103528395.9,-39936175.95,-268161735.1,66767759.16,-51788712.08,44394697.35,-18623913.09,-41041343.02,5658546.976,-83038324.76,-171449613.7,410478.4995,27914892.18,10622015.51,-75015508.36,139001528.8,-55295845.35,44999473.91,26729508.7,-358326123.8,274641327.9,-182330189.1,-174011900.7,116011933.7,-109868840.2,-226011956.7,4512214.925,-40906936.5,147326370.1,140046303,-140918928.1,69217026.52,-19488359.77,62697325.79,24445490.62,60747414.68,489343853.8,197472955.6,225025987.3,-218447385,14710010.59,210963336.9,6446655.123,
 HXT/U CN Equity ,16371184.11,-1373515.102,-103528395.9,-39936175.95,-268161735.1,66767759.16,-51788712.08,44394697.35,-18623913.09,-41041343.02,5658546.976,-83038324.76,-171449613.7,410478.4995,27914892.18,10622015.51,-75015508.36,139001528.8,-55295845.35,44999473.91,26729508.7,-358326123.8,274641327.9,-182330189.1,-174011900.7,116011933.7,-109868840.2,-226011956.7,4512214.925,-40906936.5,147326370.1,140046303,-140918928.1,69217026.52,-19488359.77,62697325.79,24445490.62,60747414.68,489343853.8,197472955.6,225025987.3,-218447385,14710010.59,210963336.9,6446655.123,
 HXCN CN Equity ,50219008.91,39778553.38,-216123656.7,-8107871.845,-64061699.24,62504.42549,74589.22263,-3865830.312,-7510795.133,-7461870.163,3734414.895,10525323.78,-25204457.37,3574286.503,0,6792142.801,3402045.311,-128375232.4,94535.25297,3034426.79,-3104286.972,6311987.413,164609.8531,71602.8381,3150727.966,60808.44962,115373.0854,32078.5946,102093.6053,68570.95679,66108.51597,-540050716.7,3006691.715,89559.36101,51000.19276,-346607549.7,103514426.3,-96632649.48,3281317.698,22093708.6,212148874.3,40176811.17,32040970.96,12256696.52,27397669.24,
 VCE CN Equity ,22700532.5,34686420,8289282.5,8544355,20743632.5,24170793.72,5885460,1529472.5,50253147,16318735,23262637.5,13281992.5,27930422.5,14435840,50518505,5816525,33402085,9048627.5,-7776567.5,11515127.5,25328827.5,11896667.5,14148837.5,5309402.5,18576017.5,10028962.5,16186857.5,5555627.5,20091647.5,11846352.5,8610940,-42416052.5,-2387255,10828010,18553880,11086140,17835635,30274505,18889990,16286835,34509095,18218015,23071905,20270295,15300000,
 TTP CN Equity ,80357863.93,414308906,100147694.7,17446035.91,20864687.42,83125080.9,223090885.9,54062262.4,27055305.55,-3182029.622,32152250.4,40026737.24,32939232.91,33878118.44,30050926.7,33817633.95,63732260.5,9521375.021,36777622.04,25536346.33,20514319.98,-49127929.59,-29640917.17,43178224.66,122708298,28692410.84,13603766.83,183144995.8,28243889.24,23071147.08,-13281316.35,-28859.55212,15359442.01,-85417281.62,-295087464.8,-30483092.35,-249446215.9,7399988.456,21733421.18,-22026898.09,2833528.069,52590405.87,58933896.25,2329532.107,58208015.57,
 QCN CN Equity ,5786996.92,38042691,57955392.06,37243968.3,54929660.33,48867990.81,9028633.147,-5961867.706,-8756035.33,25056766.83,-11218995.49,29357936.75,-5386202.194,-13366528.72,13179984.99,53833277.61,2523211.289,-5205736.281,2310206.555,18648597.04,2483855.413,12232768.04,2542970.677,33999399.1,17159166.47,34884631.53,17035463.81,20020098.13,-27623265.34,12197415.73,5191166.759,-116309.8248,-129788.3288,24143872.82,22823362.05,-178826001.8,19938196.75,5379049.98,7591594.702,15293451.76,471328558.7,-5263634.859,23645139.92,241696903.4,15330400.9,
 FLCD CN Equity ,-8259855.05,-164511.2,-6528602.35,-8286405,3254464.7,-152541.9,7944546.5,1569804.85,1551186.9,1415577.25,-13328983.05,-2837856,2920310,1426073.1,-7208008.65,1400478.6,-1354289.45,1353615.9,9101156.25,-2532239.55,2604314.7,-5335884.2,0,-5232184.8,0,-4051473.95,2511952.6,-3961535.4,-29750107.2,0,-5335502.2,-6264629.15,-1257419.5,-15147760.9,-25647697,5748997.6,-2755161,-9488151.4,-64400374.65,0,-33074470.8,0,-5402209.2,-16466652,-1312005,
 CCEI CN Equity ,2781320,10674270,2677450,-8506290,5502900,-5540970,-27495000,-121857960,-15490360,-2391780,-7332080,0,14205150,127632470,116001260,15942730,49470980,55667010,15195320,6152850,0,0,0,2162080,0,4342820,0,-49610,2127440,0,0,-74097474,0,0,2026060,18474215.8,0,0,0,0,18173850,22419710,29732300,92834580,47753040,
 QCE CN Equity ,3164729.03,2960054.202,0,3129466.221,0,6264887.503,0,2952508.288,0,0,0,0,0,0,2670225.193,2621409.457,0,2518289.3,2415519.292,0,0,-2396022.45,0,-2411564.497,0,0,0,2505124.451,0,0,-7157097.65,0,0,0,2462777.538,0,15015923.03,-2511521.732,2659901.105,0,0,0,0,-12755374.61,9689001.896,
 CCDN CN Equity ,-2592740,-1298205,2469135,-3735300,-1215765,1227930,6715,3632760,-3535725,1155195,-1106505,2156420,12150925,0,-54790,4206840,-2092884.235,3084255,-2992920,-20715,-2881350,2960445,3001980,5894445,-6023430,17475,0,3076410,2890035,0,57536310,0,-2793000,11738100,0,-4490784,0,0,0,-3174030,0,0,9356715,2967135,7468576.346,
 SITC CN Equity ,5309207.5,-77677.5,74522332.5,44158482.5,-31984565,11621967.5,40668020,13647.5,655,1423077.5,-1444722.5,3542512.5,727217.5,2145832.5,-720550,4160430,-4814667.5,2054905,6527975,10177147.5,-659042.5,0,639980,-647430,666175,-669022.5,-1332607.5,658250,-44310702.5,4490990,9539785,31042300,27370,659052.5,0,0,2021105,0,2075455,1393627.5,2756870,2043192.5,2076955,2018597.5,1973882.5,
 FXM CN Equity ,-4112090,-8539655,-6434270,-14360,-1283655,-1347005,-10285890,-3776900,-17936710,-6966805,-1126160,-5480880,-12245190,-10749190,-3196315,-2068595,-4107810,-15371845,6270430,-2026370,-1125655,6253055,-2117130,-36777250,-6250715,-39932935,3173420,1043915,-21391115,-10135550,30838975,2687150,-3059680,-20315275,-1000665,-17515005,95138495,-850,90544050,-4297820,1039255,985920,1927755,1019100,2097340,
