ETF,2025-04-30,2025-03-31,2025-02-28,2025-01-31,2024-12-31,2024-11-30,2024-10-31,2024-09-30,2024-08-30,2024-07-31,2024-06-28,2024-05-30,2024-04-30,2024-03-28,2024-02-29,2024-01-31,2023-12-29,2023-11-30,2023-10-31,2023-09-29,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-28,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-29,2022-06-30,2022-05-31,2022-04-29,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-29,2021-09-30
XIU CN Equity,0.13%,-1.96%,-0.42%,4.2%,-3.2%,6.6%,0.66%,3.02%,1.65%,6.06%,-1.78%,0.026429847,-0.021806052,0.037202897,0.019330728,0.005145964,0.040281553,0.078744483,-0.031495091,-0.031909277,-0.014535041,0.021186886,0.035481389,-0.053147961,0.03521446,-0.004850382,-0.025904923,7.33%,-5.38%,5.57%,5.62%,-3.89%,-1.61%,3.89%,-8.32%,0.13%,-4.85%,3.78%,-0.12%,-0.21%,3.40%,-1.15%,5.35%,-2.01%
XIC CN Equity,-0.09%,-1.51%,-0.41%,3.5%,-3.0%,6.3%,0.85%,3.13%,1.21%,5.85%,-1.42%,0.02764094,-0.018211137,0.041267038,0.018130037,0.005458202,0.038934082,0.074569389,-0.032017221,-0.03324218,-0.013691193,0.025696247,0.033404173,-0.049352785,0.02893376,-0.002184327,-0.024427922,7.38%,-4.88%,5.52%,5.55%,-4.25%,-1.61%,4.65%,-8.69%,0.05%,-4.95%,3.94%,0.29%,-0.41%,3.05%,-1.62%,5.00%,-2.22%
ZCN CN Equity,-0.10%,-1.51%,-0.41%,3.5%,-3.0%,6.4%,0.85%,3.14%,1.21%,5.86%,-1.42%,0.027614066,-0.0181924,0.041205832,0.018117408,0.005483343,0.039020354,0.074659965,-0.032141453,-0.033281338,-0.013712039,0.025692986,0.0335095,-0.049401565,0.02893036,-0.002202942,-0.024455618,7.38%,-4.88%,5.53%,5.56%,-4.26%,-1.61%,4.65%,-8.69%,0.05%,-4.95%,3.94%,0.28%,-0.42%,3.05%,-1.62%,5.00%,-2.22%
VCN CN Equity,-0.02%,-1.78%,-0.22%,3.7%,-3.0%,6.7%,0.92%,3.09%,1.30%,5.86%,-1.38%,0.027112632,-0.018417084,0.040844046,0.0198983,0.005524291,0.038560057,0.074306902,-0.031160666,-0.032383616,-0.013884117,0.026568528,0.034448689,-0.049621778,0.029332172,-0.001720404,-0.023570385,7.43%,-4.86%,5.51%,5.53%,-4.12%,-1.63%,4.52%,-8.60%,0.10%,-4.94%,3.89%,0.12%,-0.23%,3.17%,-1.60%,5.03%,-2.21%
HXT CN Equity,0.07%,-1.97%,-0.42%,4.2%,-3.3%,6.7%,0.67%,3.04%,1.66%,6.10%,-1.77%,0.026571729,-0.021797179,0.037360345,0.019472568,0.005233261,0.040511351,0.07905866,-0.031568816,-0.031975356,-0.014525626,0.021351885,0.035693221,-0.053206907,0.035400045,-0.004765828,-0.02592172,7.37%,-5.39%,5.59%,5.64%,-3.89%,-1.61%,3.91%,-8.33%,0.14%,-4.86%,3.80%,-0.12%,-0.20%,3.42%,-1.14%,5.37%,-2.01%
HXT/U CN Equity,4.46%,-1.44%,0.03%,3.0%,-5.5%,6.1%,-2.22%,2.68%,4.15%,5.13%,-2.14%,0.036890546,-0.037500721,0.039351514,0.009932502,-0.009271946,0.065561207,0.102755883,-0.051471674,-0.036999891,-0.038265406,0.026076601,0.061297262,-0.055055159,0.032839918,0.004807272,-0.050157674,9.26%,-6.01%,6.94%,7.12%,-8.62%,-4.07%,4.45%,-9.92%,1.71%,-7.41%,5.24%,0.16%,-0.69%,4.45%,-4.22%,7.84%,-2.39%
HXCN CN Equity,-0.12%,-1.52%,-0.42%,3.5%,-3.1%,6.4%,0.85%,3.15%,1.22%,5.87%,-1.42%,0.027656558,-0.018303368,0.041365074,0.018165769,0.005462238,0.039103212,0.074779804,-0.032163621,-0.033367214,-0.013761113,0.02574131,0.033500217,-0.049507047,0.028989021,-0.002206418,-0.024527968,7.40%,-4.90%,5.53%,5.57%,-4.26%,-1.61%,4.65%,-8.71%,0.05%,-4.97%,3.95%,0.28%,-0.42%,3.06%,-1.63%,5.01%,-2.23%
VCE CN Equity,0.03%,-2.03%,-0.23%,4.2%,-3.2%,7.1%,0.86%,2.95%,1.72%,6.03%,-1.86%,0.027150261,-0.020058603,0.036405286,0.022966853,0.005873881,0.041254314,0.078710875,-0.026121385,-0.029723968,-0.013750938,0.020876392,0.035137064,-0.053890979,0.035485072,-0.007524002,-0.026066189,7.20%,-5.20%,5.73%,5.95%,-3.76%,-1.64%,3.77%,-8.23%,0.28%,-4.69%,3.65%,-0.15%,0.22%,3.43%,-0.95%,5.30%,-2.01%
TTP CN Equity,-0.06%,-1.47%,-0.31%,3.4%,-3.0%,6.3%,0.92%,3.06%,1.20%,5.85%,-1.39%,0.026811681,-0.017442432,0.040769889,0.019786574,0.005569821,0.038155634,0.072349904,-0.030965166,-0.03245484,-0.013486046,0.026471159,0.034012494,-0.049665132,0.028905843,-0.002702725,-0.024138954,7.26%,-4.70%,5.62%,5.59%,-4.25%,-1.63%,4.76%,-8.83%,0.04%,-4.88%,3.81%,0.33%,-0.36%,3.04%,-1.66%,5.11%,-2.02%
QCN CN Equity,-0.04%,-1.49%,-0.32%,3.4%,-3.0%,6.3%,0.92%,3.05%,1.22%,5.84%,-1.25%,0.026803214,-0.017413605,0.040718979,0.01980116,0.005611302,0.03810152,0.072361666,-0.030849481,-0.032561017,-0.013481918,0.026628245,0.033934301,-0.049507859,0.028722284,-0.002642165,-0.024132983,7.23%,-4.67%,5.62%,5.59%,-4.27%,-1.61%,4.74%,-8.83%,0.04%,-4.88%,3.80%,0.33%,-0.36%,3.05%,-1.67%,5.12%,-2.02%
